#id,mass,radius,vx,vy,vz,x,y,z
#-,system.get('S.I.').base('mass'),system.get('S.I.').base('length'),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),system.get('S.I.').base('length'),system.get('S.I.').base('length'),system.get('S.I.').base('length')
#None,kg,m,m * s**-1,m * s**-1,m * s**-1,m,m,m
0,3.95957079911e+30,7.47989353455e+13,-982.990720401,39961.0848217,-155.514314586,2.62243342024e+20,7.02564971209e+15,8.18280851973e+15
1,3.25834745502e+30,7.47989353455e+13,736.774496085,40323.4789421,151.15663936,2.62329476001e+20,2.65214586828e+16,-2.24788181616e+15
2,4.76072094085e+30,7.47989353455e+13,728.816600286,40335.6684376,159.920592224,2.62328024067e+20,2.58073963461e+16,-4.47392527599e+15
3,2.33044722994e+30,7.47989353455e+13,0.344943143848,40594.3006877,75.7708709259,2.623100707e+20,1.6466350045e+16,1.24407632375e+16
4,5.85299853385e+30,7.47989353455e+13,714.089180479,40334.7324646,233.81821035,2.62331039208e+20,2.20305131379e+16,-4.47562614246e+15
5,4.86077660651e+30,7.47989353455e+13,417.923781141,41159.6829559,-667.307285779,2.62269302468e+20,-3.12643384981e+15,-8.29616777072e+15
6,2.77256549105e+30,7.47989353455e+13,200.414320289,39588.2048657,239.374821741,2.62322790635e+20,-1.53729706286e+16,-5.29356462517e+15
7,2.25268397631e+31,7.47989353455e+13,398.5947504,41143.8850433,-599.562608054,2.62267843079e+20,-4.82601827902e+15,-1.46931455881e+16
8,2.13635808502e+30,7.47989353455e+13,-94.1751444183,39785.993613,22.4848836644,2.62315457549e+20,-9.04993520462e+15,2.64137077882e+15
9,2.93849874699e+30,7.47989353455e+13,606.013964661,40458.3722516,157.86414412,2.62324255025e+20,2.39825920288e+16,2.93669567835e+15
10,2.08293090475e+30,7.47989353455e+13,245.11807067,40709.7075847,144.195992607,2.62272803462e+20,-1.44863472928e+16,-4.10280530575e+16
11,2.58010166026e+30,7.47989353455e+13,594.51165203,40424.8186128,182.701581485,2.62331065522e+20,1.91469200063e+16,5.14613371813e+15
12,4.68403312328e+31,7.47989353455e+13,146.013300204,39562.1980243,216.602558158,2.62326660947e+20,-1.22063745044e+16,-1.00606451517e+15
13,1.20369695712e+31,7.47989353455e+13,368.552628085,40821.7848099,24.3348901135,2.62269783412e+20,-1.65636355069e+16,-4.09406702657e+16
14,3.0886206156e+30,7.47989353455e+13,-898.324105852,39047.446196,91.1562932639,2.62227826104e+20,-2.46761008051e+15,1.17876725231e+16
15,1.18330707822e+31,7.47989353455e+13,-371.55774966,39757.2595135,38.3882495913,2.62298221118e+20,-1.87713869743e+16,8.41364966532e+14
16,2.55910576714e+30,7.47989353455e+13,-617.026318091,39062.0592899,-158.84180474,2.62273349375e+20,4.49939242502e+15,9.25247378728e+15
17,3.62162450847e+30,7.47989353455e+13,-1.48786802639,40709.8897748,81.6318063503,2.62315354849e+20,1.03924686352e+16,9.22022850694e+15
18,3.11596091445e+30,7.47989353455e+13,38.6434477933,40706.3381298,60.5535992716,2.62313231938e+20,1.15754739295e+16,7.03243955535e+15
19,2.01589329232e+30,7.47989353455e+13,-920.776850966,39923.2897616,-112.269374772,2.62245914116e+20,-6.18916614793e+15,3.1517326172e+16
20,1.58129887508e+31,7.47989353455e+13,-16.7882427733,39746.4610968,-39.3504237441,2.62306269167e+20,-1.37282671104e+16,2.21839321592e+16
