time (yr),particle1_id,particle2_id,particle1_radius (AU),particle2_radius (AU),particle1_x (kpc),particle1_y (kpc),particle1_z (kpc),particle2_x (kpc),particle2_y (kpc),particle2_z (kpc),particle1_vx (km/s),particle1_vy (km/s),particle1_vz (km/s),particle2_vx (km/s),particle2_vy (km/s),particle2_vz (km/s),particle1_mass (MSun),particle2_mass (MSun),mass_ratio
1796.25484833,13530389724710093577,14393904700995304179,250.0,250.0,8.4866276758,0.0820380849138,-0.000332612646316,8.48663093165,0.0820375472488,-0.000335662580728,-11.4394173432,38.0775999051,-1.05102845434,-12.5118648948,39.6176037591,0.01250527246,1.04752931854,2.07599808842,1.98180428144
2933.88291894,14393904700995304179,13530389724710093577,125.0,125.0,8.48661620765,0.0820836223273,-0.000335496603682,8.48661468076,0.0820824161896,-0.000334128932652,-12.8655677031,39.5174790423,0.331504332249,-10.7681798597,38.2677724378,-1.67175147414,2.07599808842,1.04752931854,1.98180428144
15926.7929885,2335499999209911255,5717367085782296937,250.0,250.0,8.486163685,0.0825918021836,-0.000524439130553,8.48615985638,0.0825918000609,-0.000521677379588,-14.2407502357,38.9865582478,0.213922794432,-12.3687182946,40.9197804325,0.237548538556,1.45719868884,4.42580068518,3.03719782284
31374.5846841,12896599372272978541,12703226275876808267,250.0,250.0,8.48529332652,0.0850234454041,0.00111167135977,8.48529211939,0.0850189832579,0.00111063128366,-13.645100415,39.6836692107,0.272285942553,-12.1292123839,41.3285858772,-0.033052159141,2.00155146289,1.96448817728,1.01886663714
32452.3375931,12896599372272978541,12703226275876808267,125.0,125.0,8.48527820183,0.0850668635588,0.00111186169816,8.48527874461,0.0850648611453,0.00111069720855,-13.7394692742,38.9458378488,-0.0280955262283,-12.2006984081,42.0759498491,0.255916487454,2.00155146289,1.96448817728,1.01886663714
32976.2452572,12703226275876808267,12896599372272978541,62.5,62.5,8.4852720374,0.0850876232098,0.00111103105533,8.48527100576,0.0850875161833,0.00111165148642,-13.2528022044,42.8057695983,1.22459985483,-12.712457628,38.2278521145,-0.986537868433,1.96448817728,2.00155146289,1.01886663714
53229.0186721,885108162333178090,4724899819309865412,250.0,250.0,8.4854708453,0.0846049383569,0.00143296800466,8.48547428167,0.0846020615874,0.00143112620379,-11.8842254362,39.5833057234,0.262443939836,-13.9454011968,40.2036801774,0.753603168708,1.91502816124,1.08917092262,1.75824392799
54276.8340003,885108162333178090,4724899819309865412,125.0,125.0,8.48545815461,0.0846472408092,0.00143317801297,8.48545908556,0.0846453435535,0.00143205838974,-11.7688354255,39.2875866808,0.081803440301,-14.4737833644,40.7208357447,1.07009791017,1.91502816124,1.08917092262,1.75824392799
54695.9601316,885108162333178090,4724899819309865412,62.5,62.5,8.48545313254,0.0846639838253,0.00143315747475,8.48545283844,0.0846629686503,0.00143261478888,-11.723432172,38.6885842141,-0.254508739263,-14.5704822226,41.774042004,1.66120335775,1.91502816124,1.08917092262,1.75824392799
85501.7307804,11239772973038068957,864973199408359627,250.0,250.0,8.48770652978,0.0853658013019,-0.000886146722542,8.48771130539,0.0853663931926,-0.000885960350143,-13.065137345,40.6176748499,-0.74826166958,-13.3733196719,35.1787546917,-0.154993578277,16.3203492777,1.32179765675,12.347085951
90291.7437093,13530389724710093577,14393904700995304179,62.5,62.5,8.4854819474,0.0855693523512,-0.000343691394642,8.4854823373,0.0855702916381,-0.00034433598451,-12.4395756531,37.7169419979,-2.7193623174,-14.4263019526,39.7803579399,0.871088980833,1.04752931854,2.07599808842,1.98180428144
210281.567578,1982526821819120375,17329556310408049370,250.0,250.0,8.48301658781,0.0922616625761,0.00119312232655,8.48301959397,0.0922650207346,0.00119438655938,-12.9517737613,40.4276545146,-0.498088247079,-13.7923006523,38.4349283775,1.20548971814,2.77854322352,1.50475520846,1.84650846058
231896.500919,12926560319496701497,8352312517096958256,250.0,250.0,8.4827983872,0.0933944702965,0.00116496065208,8.48280305774,0.0933939952976,0.00116555585011,-12.9092371213,39.5315852831,-0.111202587383,-14.7296291548,41.2981656706,0.0956615150647,1.19393060493,2.66908502285,2.23554452147
