star_i,star_j,time ,relative_dx_pc,relative_dy_pc,relative_dz_pc,relative_dvx_kms,relative_dvy_kms,relative_dvz_kms,distance_pc,mass_star_i_MSun,mass_star_j_MSun,mass_ratio
0,51,49.0 Myr,[-0.00088708],[-0.00034348],[ 0.00095125],[ 4.52422629],[ 5.10651358],[ 6.82239727],[ 0.00095125],3.65470978871,1.98590348853,[ 1.84032598]
0,51,65.0 Myr,[-0.00164442],[-0.00114691],[ 0.00200487],[ 2.50580595],[ 3.72811589],[ 4.49198303],[ 0.00200487],3.65470978871,1.98590348853,[ 1.84032598]
10,38,19.0 Myr,[ 0.00186206],[ 0.00013676],[ 0.00186707],[-1.24941536],[-1.262961],[ 1.77654418],[ 0.00186707],1.1167430438,1.41215725589,[ 1.26453195]
10,38,59.0 Myr,[-0.0008889],[ 0.00354202],[ 0.00365186],[ 0.21907341],[ 1.58790167],[ 1.60294257],[ 0.00365186],1.1167430438,1.41215725589,[ 1.26453195]
10,38,63.0 Myr,[-0.00051499],[ 0.0001028],[ 0.00052515],[-2.87590028],[ 4.82165926],[ 5.61419633],[ 0.00052515],1.1167430438,1.41215725589,[ 1.26453195]
10,38,67.0 Myr,[ 0.00230067],[ 0.00068778],[ 0.00240128],[-0.91356274],[-1.22391641],[ 1.52727478],[ 0.00240128],1.1167430438,1.41215725589,[ 1.26453195]
10,38,71.0 Myr,[ 0.00226224],[ 0.00063975],[ 0.00235096],[-0.93984976],[-1.23269869],[ 1.5501173],[ 0.00235096],1.1167430438,1.41215725589,[ 1.26453195]
10,38,80.0 Myr,[-0.00091436],[ 0.00340872],[ 0.00352923],[ 0.20160665],[ 1.64154083],[ 1.6538747],[ 0.00352923],1.1167430438,1.41215725589,[ 1.26453195]
10,38,89.0 Myr,[-0.00098493],[ 0.00248314],[ 0.00267134],[ 0.04416968],[ 2.1106983],[ 2.11116041],[ 0.00267134],1.1167430438,1.41215725589,[ 1.26453195]
10,38,93.0 Myr,[ 0.00273397],[ 0.00136481],[ 0.0030557],[-0.65119697],[-1.12564152],[ 1.30043313],[ 0.0030557],1.1167430438,1.41215725589,[ 1.26453195]
